rank,title,year,imdb_rating,genre,cast_name,storyline,combined_text
1857,Queen America,2018–2019,7.2,Comedy,"Belle Shouse, Catherine Zeta-Jones, Teagle F. Bougere, Rana Roy",Sonja lives a carefree life with her family near Stockholm and works as an accountant in the family business at the marina. One day Sonja is drawn into the criminal underworld to save her family.,"Title: Queen America Year: 2018–2019 Genre: Comedy Cast: Belle Shouse, Catherine Zeta-Jones, Teagle F. Bougere, Rana Roy. Story: Sonja lives a carefree life with her family near Stockholm and works as an accountant in the family business at the marina. One day Sonja is drawn into the criminal underworld to save her family."
1858,American Dragon: Jake Long,2005–2007,6.6,"Animation, Action, Comedy","Dante Basco, Charlie Finn, kittie KaBoom, Keone Young","A journey deep into Alaska's bush, where naturalist and adventurer Billy Brown, along with his wife, Ami, and their seven children, chooses to live life on his own terms, connected to wild nature and bonded to each other.","Title: American Dragon: Jake Long Year: 2005–2007 Genre: Animation, Action, Comedy Cast: Dante Basco, Charlie Finn, kittie KaBoom, Keone Young. Story: A journey deep into Alaska's bush, where naturalist and adventurer Billy Brown, along with his wife, Ami, and their seven children, chooses to live life on his own terms, connected to wild nature and bonded to each other."
1859,Gåsmamman,2015– ,7.5,"Crime, Thriller","Alexandra Rapaport, Clara Christiansson Drake, Edvin Ryding, Joel Lützow","Bradin, Nikki and Derrick are 3 kids from an average normal Kansas household. Their whole life is thrown upside-down when their parents are tragically killed in a car accident.","Title: Gåsmamman Year: 2015–  Genre: Crime, Thriller Cast: Alexandra Rapaport, Clara Christiansson Drake, Edvin Ryding, Joel Lützow. Story: Bradin, Nikki and Derrick are 3 kids from an average normal Kansas household. Their whole life is thrown upside-down when their parents are tragically killed in a car accident."
1860,Alaskan Bush People,2014– ,6.1,Reality-TV,"Joshua Bam Bam Brown, Gabe Brown, Bear Brown, Noah Brown","Based on Lily Koppel's best-selling titular novel, which tells the real story of the women who stood beside some of the biggest heroes in American history during the height of the space race.","Title: Alaskan Bush People Year: 2014–  Genre: Reality-TV Cast: Joshua Bam Bam Brown, Gabe Brown, Bear Brown, Noah Brown. Story: Based on Lily Koppel's best-selling titular novel, which tells the real story of the women who stood beside some of the biggest heroes in American history during the height of the space race."
1861,Summerland,2004–2005,6.9,Drama,"Lori Loughlin, Merrin Dungey, Ryan Kwanten, Jesse McCartney","Ten home potters from around the country head to Stoke-on-Trent, the home of pottery, in their quest to become Top Potter.","Title: Summerland Year: 2004–2005 Genre: Drama Cast: Lori Loughlin, Merrin Dungey, Ryan Kwanten, Jesse McCartney. Story: Ten home potters from around the country head to Stoke-on-Trent, the home of pottery, in their quest to become Top Potter."
1862,The Astronaut Wives Club,2015,7.3,Drama,"JoAnna Garcia Swisher, Yvonne Strahovski, Dominique McElligott, Odette Annable","Men and women, all of whom weigh at least 600 pounds, undergo gastric-bypass surgery. The series follows the changes in their weight and in their lives over a year.","Title: The Astronaut Wives Club Year: 2015 Genre: Drama Cast: JoAnna Garcia Swisher, Yvonne Strahovski, Dominique McElligott, Odette Annable. Story: Men and women, all of whom weigh at least 600 pounds, undergo gastric-bypass surgery. The series follows the changes in their weight and in their lives over a year."
1863,The Great Pottery Throw Down,2015– ,8.6,"Game-Show, Reality-TV","Keith Brymer Jones, Richard Miller, Sara Cox, Kate Olivia Malone","A friendless teenager, feared by his fellow classmates, joins a club hoping to finally make some friends.","Title: The Great Pottery Throw Down Year: 2015–  Genre: Game-Show, Reality-TV Cast: Keith Brymer Jones, Richard Miller, Sara Cox, Kate Olivia Malone. Story: A friendless teenager, feared by his fellow classmates, joins a club hoping to finally make some friends."
1864,My 600-lb Life,2012– ,6.6,Reality-TV,"Younan Nowzaradan, Lola Clay, Melissa Morris, Donald Shelton","A homicide detective, a medical examiner, a newspaper reporter and a young assistant district attorney work together to solve homicide investigations.","Title: My 600-lb Life Year: 2012–  Genre: Reality-TV Cast: Younan Nowzaradan, Lola Clay, Melissa Morris, Donald Shelton. Story: A homicide detective, a medical examiner, a newspaper reporter and a young assistant district attorney work together to solve homicide investigations."
1865,Boku wa tomodachi ga sukunai,2011– ,7.1,"Animation, Comedy, Drama","Ryohei Kimura, Marina Inoue, Kanae Itô, Jerry Jewell","When a man goes looking for his missing girlfriend, he stumbles upon a government conspiracy that is bigger than the president himself.","Title: Boku wa tomodachi ga sukunai Year: 2011–  Genre: Animation, Comedy, Drama Cast: Ryohei Kimura, Marina Inoue, Kanae Itô, Jerry Jewell. Story: When a man goes looking for his missing girlfriend, he stumbles upon a government conspiracy that is bigger than the president himself."
1866,Women's Murder Club,2007–2008,7.2,"Crime, Drama, Mystery","Angie Harmon, Laura Harris, Paula Newsome, Aubrey Dollar","Four female friends from different walks of life deal with romance, work-life conflicts, ambitions and anxieties in modern-day India.","Title: Women's Murder Club Year: 2007–2008 Genre: Crime, Drama, Mystery Cast: Angie Harmon, Laura Harris, Paula Newsome, Aubrey Dollar. Story: Four female friends from different walks of life deal with romance, work-life conflicts, ambitions and anxieties in modern-day India."
1867,The Event,2010–2011,7.0,"Crime, Drama, Mystery","Jason Ritter, Sarah Roemer, Ian Anthony Dale, Zeljko Ivanek","Rudra Srivastava, a senior inspector with Uttarakhand police is lured into kidnapping a young girl at her request. The plot begins as a simple plan to extort money in exchange for her ...","Title: The Event Year: 2010–2011 Genre: Crime, Drama, Mystery Cast: Jason Ritter, Sarah Roemer, Ian Anthony Dale, Zeljko Ivanek. Story: Rudra Srivastava, a senior inspector with Uttarakhand police is lured into kidnapping a young girl at her request. The plot begins as a simple plan to extort money in exchange for her ..."
1868,Four More Shots Please!,2019– ,6.5,"Comedy, Drama, Romance","Sayani Gupta, Maanvi Gagroo, Kirti Kulhari, Gurbani","April Carver, whose world has just started to look up, is diagnosed with leukemia. With the support of her family and best friend, she might just be able to fight it.","Title: Four More Shots Please! Year: 2019–  Genre: Comedy, Drama, Romance Cast: Sayani Gupta, Maanvi Gagroo, Kirti Kulhari, Gurbani. Story: April Carver, whose world has just started to look up, is diagnosed with leukemia. With the support of her family and best friend, she might just be able to fight it."
1869,Apharan,2018– ,8.3,"Action, Crime, Thriller","Arunoday Singh, Mahie Gill, Nidhi Singh, Monica Chaudhary","Life of Isabella I of Castile, also known as Isabella the Catholic.","Title: Apharan Year: 2018–  Genre: Action, Crime, Thriller Cast: Arunoday Singh, Mahie Gill, Nidhi Singh, Monica Chaudhary. Story: Life of Isabella I of Castile, also known as Isabella the Catholic."
1870,Chasing Life,2014–2015,7.8,"Drama, Family, Romance","Italia Ricci, Mary Page Keller, Richard Brancatisano, Haley Ramm",Story about a son's search for his family's lost honor.,"Title: Chasing Life Year: 2014–2015 Genre: Drama, Family, Romance Cast: Italia Ricci, Mary Page Keller, Richard Brancatisano, Haley Ramm. Story: Story about a son's search for his family's lost honor."
1871,Isabel,2011–2014,8.3,"Biography, History","Michelle Jenner, Ramon Madaula, Rodolfo Sancho, Jordi Díaz","Yuuta suffered from ""chuunibyou"" while he was in middle school. When he graduated, he try to forgot about it but he accidentally got into a contract with Rikka and disrupts his desperately ordinary life.","Title: Isabel Year: 2011–2014 Genre: Biography, History Cast: Michelle Jenner, Ramon Madaula, Rodolfo Sancho, Jordi Díaz. Story: Yuuta suffered from ""chuunibyou"" while he was in middle school. When he graduated, he try to forgot about it but he accidentally got into a contract with Rikka and disrupts his desperately ordinary life."
1872,Lang ya bang,2015– ,9.0,"Action, Drama, Fantasy","Kei Gambit, Ge Hu, Yongdai Ding, Kai Wang",MTV follows eight teens living in Laguna Beach nearing the end of high school and beginning the next chapter of their lives.,"Title: Lang ya bang Year: 2015–  Genre: Action, Drama, Fantasy Cast: Kei Gambit, Ge Hu, Yongdai Ding, Kai Wang. Story: MTV follows eight teens living in Laguna Beach nearing the end of high school and beginning the next chapter of their lives."
1873,Chuunibyou demo koi ga shitai!,2012– ,7.4,"Animation, Comedy, Drama","Jun Fukuyama, Maaya Uchida, Chinatsu Akasaki, Leraldo Anzaldua",A 2019 adaptation of Tove Jansson's loved body of work around the Moomin family.,"Title: Chuunibyou demo koi ga shitai! Year: 2012–  Genre: Animation, Comedy, Drama Cast: Jun Fukuyama, Maaya Uchida, Chinatsu Akasaki, Leraldo Anzaldua. Story: A 2019 adaptation of Tove Jansson's loved body of work around the Moomin family."
1874,Laguna Beach: The Real Orange County,2004–2006,4.8,"Drama, Reality-TV","Kristin Cavallari, Talan Torriero, Stephen Colletti, Lauren Conrad",About an epic romance between a human girl and an alien boy when he and others of his kind are integrated into a suburban high school 10 years after they landed on Earth and were consigned to an internment camp.,"Title: Laguna Beach: The Real Orange County Year: 2004–2006 Genre: Drama, Reality-TV Cast: Kristin Cavallari, Talan Torriero, Stephen Colletti, Lauren Conrad. Story: About an epic romance between a human girl and an alien boy when he and others of his kind are integrated into a suburban high school 10 years after they landed on Earth and were consigned to an internment camp."
1875,Moominvalley,2019– ,7.3,"Animation, Drama, Family","Matt Berry, Warwick Davis, Taron Egerton, Edvin Endre","""Dangerous"" Davies always gets the cases no one else wants, and no one notices when he eventually succeeds. But his old-fashioned decency and dogged determination have won him legions of loyal fans.","Title: Moominvalley Year: 2019–  Genre: Animation, Drama, Family Cast: Matt Berry, Warwick Davis, Taron Egerton, Edvin Endre. Story: ""Dangerous"" Davies always gets the cases no one else wants, and no one notices when he eventually succeeds. But his old-fashioned decency and dogged determination have won him legions of loyal fans."
1876,Star-Crossed,2014,7.3,"Drama, Romance, Sci-Fi","Aimee Teegarden, Matt Lanter, Grey Damon, Greg Finley","Set on the Homicide floor of a police headquarters in Melbourne, Australia, detectives work to bring justice for the deceased.","Title: Star-Crossed Year: 2014 Genre: Drama, Romance, Sci-Fi Cast: Aimee Teegarden, Matt Lanter, Grey Damon, Greg Finley. Story: Set on the Homicide floor of a police headquarters in Melbourne, Australia, detectives work to bring justice for the deceased."
1877,The Last Detective,2003–2007,7.7,"Comedy, Crime, Drama","Peter Davison, Sean Hughes, Rob Spendlove, ""Charles DeAth""","A corrupt businessman and family man attempts to navigate his way through increasing domestic, legal, and financial problems.","Title: The Last Detective Year: 2003–2007 Genre: Comedy, Crime, Drama Cast: Peter Davison, Sean Hughes, Rob Spendlove, ""Charles DeAth"". Story: A corrupt businessman and family man attempts to navigate his way through increasing domestic, legal, and financial problems."
1878,City Homicide,2007–2011,7.5,"Crime, Drama, Mystery","Shane Bourne, Nadine Garner, Aaron Pedersen, Damien Richardson","The City of Angels is falling apart, and crime pervades the city to the core. The mayor is corrupt, the police are inept, the city needs a figure to take control of the situation. Then in ...","Title: City Homicide Year: 2007–2011 Genre: Crime, Drama, Mystery Cast: Shane Bourne, Nadine Garner, Aaron Pedersen, Damien Richardson. Story: The City of Angels is falling apart, and crime pervades the city to the core. The mayor is corrupt, the police are inept, the city needs a figure to take control of the situation. Then in ..."
1879,Aranyélet,2015–2018,8.7,"Action, Drama, Thriller","Szabolcs Thuróczy, Eszter Ónodi, Renátó Olasz, Laura Döbrösi",The Midland Art Gallery is the home base for this erotic series starring Divini Rai as erotic photographer Marissa Johanson and Kaylani Lei as her pupil Allison Kraft. The series uses ...,"Title: Aranyélet Year: 2015–2018 Genre: Action, Drama, Thriller Cast: Szabolcs Thuróczy, Eszter Ónodi, Renátó Olasz, Laura Döbrösi. Story: The Midland Art Gallery is the home base for this erotic series starring Divini Rai as erotic photographer Marissa Johanson and Kaylani Lei as her pupil Allison Kraft. The series uses ..."
1880,Black Scorpion,2001,6.1,"Action, Crime, Drama","Michelle Lintel, Scott Valentine, BT, Enya Flack","Follows the cast of the second season of '16 and Pregnant', giving viewers an intimate look at the challenges Chelsea, Leah, Jenelle, and Kailyn face raising a child as a teenager.","Title: Black Scorpion Year: 2001 Genre: Action, Crime, Drama Cast: Michelle Lintel, Scott Valentine, BT, Enya Flack. Story: Follows the cast of the second season of '16 and Pregnant', giving viewers an intimate look at the challenges Chelsea, Leah, Jenelle, and Kailyn face raising a child as a teenager."
1881,The Erotic Traveler,2007– ,5.8,"Adventure, Drama, Fantasy","Divini Rae, Kaylani Lei, Tabitha Stevens, Frankie Cullen",The further adventures of Po the Dragon Warrior and his friends.,"Title: The Erotic Traveler Year: 2007–  Genre: Adventure, Drama, Fantasy Cast: Divini Rae, Kaylani Lei, Tabitha Stevens, Frankie Cullen. Story: The further adventures of Po the Dragon Warrior and his friends."
1882,Teen Mom 2,2011– ,4.3,"Documentary, Reality-TV","Kailyn Lowry, Jenelle Evans, Chelsea DeBoer, Leah Messer",Contestants make their way through a giant obstacle course to win a cash prize.,"Title: Teen Mom 2 Year: 2011–  Genre: Documentary, Reality-TV Cast: Kailyn Lowry, Jenelle Evans, Chelsea DeBoer, Leah Messer. Story: Contestants make their way through a giant obstacle course to win a cash prize."
1883,Kung Fu Panda: Legends of Awesomeness,2011–2016,7.1,"Animation, Action, Adventure","Mick Wingert, Kari Wahlgren, Fred Tatasciore, Max Koch","Set in the future, a secret agency combines a newly discovered substance called ""Morph-X"" with animal DNA to create the Power Rangers Beast Morphers team.","Title: Kung Fu Panda: Legends of Awesomeness Year: 2011–2016 Genre: Animation, Action, Adventure Cast: Mick Wingert, Kari Wahlgren, Fred Tatasciore, Max Koch. Story: Set in the future, a secret agency combines a newly discovered substance called ""Morph-X"" with animal DNA to create the Power Rangers Beast Morphers team."
